# t, hp, hx
1.085716746099999908e+00 -4.395612103400000081e-01 -3.160365759900000127e-01
1.085798096800000057e+00 -4.390039223400000190e-01 -3.128093216200000248e-01
1.085879446699999917e+00 -4.386786436599999783e-01 -3.082599543499999761e-01
1.085960795799999934e+00 -4.385744355200000277e-01 -3.057702032799999858e-01
1.086041487499999958e+00 -4.394312378799999919e-01 -3.061948034099999938e-01
1.086122834800000048e+00 -4.414367287600000078e-01 -3.084716874699999778e-01
1.086204181100000055e+00 -4.427879632500000273e-01 -3.113009301299999865e-01
1.086285526299999971e+00 -4.425542707599999792e-01 -3.133782218200000247e-01
1.086366870500000026e+00 -4.408229092900000090e-01 -3.140504158799999890e-01
1.086448213599999990e+00 -4.386962443799999889e-01 -3.122770567700000055e-01
1.086529555600000085e+00 -4.377118707700000111e-01 -3.090545691800000161e-01
1.086610896600000098e+00 -4.380408972900000086e-01 -3.070090446200000045e-01
1.086692236700000036e+00 -4.390505437800000244e-01 -3.070367480399999738e-01
1.086773575600000097e+00 -4.401967175400000043e-01 -3.086997929899999993e-01
1.086854913500000075e+00 -4.409050622099999761e-01 -3.116047464700000269e-01
1.086936250399999970e+00 -4.406418648100000057e-01 -3.143883284299999747e-01
1.087017080399999891e+00 -4.396943732999999965e-01 -3.150146125300000155e-01
1.087098415300000065e+00 -4.389683798699999806e-01 -3.132036144700000024e-01
1.087179749299999942e+00 -4.379061762400000002e-01 -3.097955115700000150e-01
1.087261082299999959e+00 -4.366594404099999882e-01 -3.060416270099999836e-01
1.087342414299999893e+00 -4.371540649199999740e-01 -3.041048044099999847e-01
1.087423745199999958e+00 -4.393895342499999912e-01 -3.049452319900000097e-01
1.087505074699999907e+00 -4.409331501800000108e-01 -3.080853567499999834e-01
1.087586403099999988e+00 -4.409684248499999848e-01 -3.120150929100000137e-01
1.087667730399999977e+00 -4.408925398299999854e-01 -3.148956203200000137e-01
1.087749056700000105e+00 -4.403793253100000138e-01 -3.157499419500000015e-01
1.087830381999999929e+00 -4.395252902699999797e-01 -3.146306843100000195e-01
1.087911706399999900e+00 -4.391890748899999752e-01 -3.118954175800000006e-01
1.087993029800000011e+00 -4.390470461500000088e-01 -3.084804167799999886e-01
1.088074003400000045e+00 -4.397895441099999858e-01 -3.062906174800000270e-01
1.088155325000000007e+00 -4.420929430400000193e-01 -3.064770437000000070e-01
1.088236645699999894e+00 -4.441985803499999830e-01 -3.085027504599999748e-01
